tweets,Date
1657923,November 12 2021
3850005,November 13 2020
1551456,November 13 2021
3341609,November 14 2020
1583755,November 14 2021
3424942,November 15 2020
1525700,November 15 2021
3629902,November 16 2020
1679212,November 16 2021
3566213,November 17 2020
1719693,November 17 2021
3649808,November 18 2020
1690502,November 18 2021
3593689,November 19 2020
1429612,November 19 2021
3467627,November 20 2020
1298008,November 20 2021
3302059,November 21 2020
1228588,November 21 2021
3072344,November 22 2020
1648181,November 22 2021
3405513,November 23 2020
1499581,November 23 2021
3172136,November 24 2020
1714186,November 24 2021
3084475,November 25 2020
1456028,November 25 2021
2853608,November 26 2020
2126407,November 26 2021
2463578,November 27 2020
2311888,November 27 2021
2437566,November 28 2020
2159034,November 28 2021
2570601,November 29 2020
2183152,November 29 2021
3144302,November 30 2020
2327641,November 30 2021
3149122,October 01 2020
1908122,October 01 2021
4312864,October 02 2020
2108962,October 02 2021
4263630,October 03 2020
1739268,October 03 2021
4029468,October 04 2020
1909160,October 04 2021
4120708,October 05 2020
2148267,October 05 2021
4250382,October 06 2020
2075883,October 06 2021
4004487,October 07 2020
2338335,October 07 2021
3963002,October 08 2020
1411691,October 08 2021
3876621,October 09 2020
1410813,October 09 2021
3725364,October 10 2020
2031769,October 10 2021
3555115,October 11 2020
1436411,October 11 2021
3836485,October 12 2020
2647110,October 12 2021
3773010,October 13 2020
2035278,October 13 2021
3530338,October 14 2020
1947759,October 14 2021
3288065,October 15 2020
1871896,October 15 2021
3111052,October 16 2020
1508992,October 16 2021
2936275,October 17 2020
1462011,October 17 2021
3114902,October 18 2020
2283943,October 18 2021
3495131,October 19 2020
2072206,October 19 2021
3474414,October 20 2020
2125391,October 20 2021
3211180,October 21 2020
2115625,October 21 2021
3342926,October 22 2020
1732711,October 22 2021
3269122,October 23 2020
1344116,October 23 2021
1444159,October 24 2020
3193236,October 24 2020
3382538,October 25 2020
1742861,October 25 2021
3339344,October 26 2020
1731870,October 26 2021
2553632,October 27 2020
1633324,October 27 2021
2865014,October 28 2020
1584846,October 28 2021
3256945,October 29 2020
1493553,October 29 2021
3428783,October 30 2020
1283017,October 30 2021
3500835,October 31 2020
1380723,October 31 2021
3665464,September 01 2020
2763624,September 01 2021
3742416,September 02 2020
2938858,September 02 2021
3833791,September 03 2020
2405033,September 03 2021
3189110,September 04 2020
2234971,September 04 2021
2736116,September 05 2020
2240358,September 05 2021
2742674,September 06 2020
2147731,September 06 2021
3428867,September 07 2020
2618317,September 07 2021
3596199,September 08 2020
2420003,September 08 2021
3983190,September 09 2020
3199346,September 09 2021
4032447,September 10 2020
3674509,September 10 2021
3499620,September 11 2020
2437246,September 11 2021
3165691,September 12 2020
2273389,September 12 2021
3172727,September 13 2020
3116987,September 13 2021
3590356,September 14 2020
2904091,September 14 2021
3638935,September 15 2020
2627401,September 15 2021
3839131,September 16 2020
2717695,September 16 2021
3661202,September 17 2020
2706436,September 17 2021
3328710,September 18 2020
2241235,September 18 2021
2373557,September 19 2020
2290977,September 19 2021
2717488,September 20 2020
2790068,September 20 2021
3647346,September 21 2020
2241524,September 21 2021
3773214,September 22 2020
2323202,September 22 2021
3675631,September 23 2020
2241688,September 23 2021
3469386,September 24 2020
2059018,September 24 2021
2943510,September 25 2020
1647906,September 25 2021
2750782,September 26 2020
1604295,September 26 2021
2349966,September 27 2020
2365010,September 27 2021
2828438,September 28 2020
2381940,September 28 2021
3154852,September 29 2020
2343125,September 29 2021
2652574,September 30 2020
2038891,September 30 2021
